timestamp,title,link
27 Min Ago,These stocks reporting earnings next week have a history of beating expectations,https://www.cnbc.com/2026/01/16/these-stocks-reporting-earnings-next-week-have-a-history-of-beating-expectations.html
28 Min Ago,Coastal Virginia Offshore Wind to restart work after judge lifts Trump suspension,https://www.cnbc.com/2026/01/16/biggest-offshore-wind-project-in-us-to-resume-construction-after-judge-lifts-trump-suspension.html
34 Min Ago,OpenAI to begin testing ads on ChatGPT in the U.S.,https://www.cnbc.com/2026/01/16/open-ai-chatgpt-ads-us.html
38 Min Ago,Micron stock climbs as CEO highlights AI demand for memory,https://www.cnbc.com/2026/01/16/micron-stock-climbs-as-ceo-highlights-ai-demand-for-memory.html
1 Hour Ago,Stocks usually rally after getting added to S&P 500. These names could be next,https://www.cnbc.com/2026/01/16/stocks-usually-rally-big-after-getting-added-to-the-sp-500-index-these-could-be-next.html
2 Hours Ago,This energy stock is the clearest winner in efforts to power the AI buildout,https://www.cnbc.com/2026/01/16/this-energy-stock-is-the-clearest-winner-in-efforts-aimed-at-powering-the-ai-buildout.html
2 Hours Ago,"Stocks making big moves midday: Novo Nordisk, GE Vernova, Regions Financial and more",https://www.cnbc.com/2026/01/16/stocks-making-the-biggest-moves-midday-nvo-rf-gev-vst-and-more.html
2 Hours Ago,Novo Nordisk shares rise after Wegovy obesity pill has ‘solid’ start to launch,https://www.cnbc.com/2026/01/16/novo-nordisk-shares-wegovy-obesity-pill-launch.html
2 Hours Ago,"Micron has been on a tear. How to take profits, generate income on the chipmaker",https://www.cnbc.com/2026/01/16/micron-has-been-on-a-tear-how-to-take-profits-and-generate-income-on-the-chipmaker-using-options.html
2 Hours Ago,ASML hits record high on AI boost — and analysts see plenty of room to run,https://www.cnbc.com/2026/01/16/asml-record-high-ai-boom-tech-stocks.html
3 Hours Ago,Trump floats new tariffs in push to acquire Greenland,https://www.cnbc.com/2026/01/16/trump-greenland-tariffs.html
3 Hours Ago,"How to raise successful kids when you and your partner have ‘wildly’ different parenting styles, says toddler expert",https://www.cnbc.com/2026/01/16/how-to-raise-successful-kids-when-you-and-your-partner-have-very-different-parenting-styles.html
3 Hours Ago,"How much $1,000 invested in a silver ETF a year ago is worth now",https://www.cnbc.com/2026/01/16/silver-prices-up-more-than-200-percent-over-past-year.html
3 Hours Ago,Trump tells Hassett he wants to keep him where he is; Warsh Fed Chair odds jump,https://www.cnbc.com/2026/01/16/warsh-sprints-ahead-in-fed-chair-race-following-trump-comments-on-hassett-prediction-markets-show.html
3 Hours Ago,"This gym stock could see a boost from increase weight-loss pill use, says Stifel",https://www.cnbc.com/2026/01/16/this-gym-stock-could-see-a-boost-from-increase-weight-loss-pill-use-says-stifel.html
4 Hours Ago,"Keeping U.S. biotech ahead of China’s could help rare disease patients, experts say",https://www.cnbc.com/2026/01/16/keeping-us-biotech-ahead-of-china-could-aid-rare-disease-patients-experts.html
4 Hours Ago,Trump wants tech companies to foot the bill for new power plants because of AI,https://www.cnbc.com/2026/01/16/trump-wants-tech-companies-to-foot-the-bill-for-new-power-plants-because-of-ai.html
4 Hours Ago,The biggest gains in early 2026 have come from small-cap stocks,https://www.cnbc.com/2026/01/16/the-biggest-gains-in-early-2026-have-come-from-small-cap-stocks.html
4 Hours Ago,25-year-old college dropout’s production company brings in $1.08 million a year,https://www.cnbc.com/2026/01/16/video-production-company-brought-in-over-a-million-dollars-in-2025.html
4 Hours Ago,"Machado presents her Nobel award to Trump, prompting incredulity in Norway",https://www.cnbc.com/2026/01/16/trump-machado-norway-.html
4 Hours Ago,Jim Cramer’s top 10 things to watch in the stock market Friday,https://www.cnbc.com/2026/01/16/jim-cramers-top-10-things-to-watch-in-the-stock-market-friday.html
5 Hours Ago,"Friday’s biggest analyst calls: Nvidia, Tesla, Netflix, Disney, Amazon, Honeywell, Nio, Rocket Lab",https://www.cnbc.com/2026/01/16/stocks-from-analyst-calls-friday-like-nvidia.html
5 Hours Ago,Four defense stocks key to the Trump-Greenland crisis and Europe’s NATO fears,https://www.cnbc.com/2026/01/16/trump-greenland-crisis-europe-security-annex-threat-defense-stocks-nato-war-invasion.html
5 Hours Ago,"Honeywell is a buy as planned break-up continues, JPMorgan says",https://www.cnbc.com/2026/01/16/honeywell-is-a-buy-as-planned-break-up-continues-jpmorgan-says-.html
6 Hours Ago,"AI chip trade, Saks’ bankruptcy woes and more in Morning Squawk",https://www.cnbc.com/2026/01/16/5-things-to-know-before-the-stock-market-opens.html
6 Hours Ago,"Stocks making the biggest moves premarket: PNC, ImmunityBio, Coupang & more",https://www.cnbc.com/2026/01/16/stocks-making-the-biggest-moves-premarket-pnc-ibrx-cpng.html
6 Hours Ago,Here are Needham’s top picks for 2026,https://www.cnbc.com/2026/01/16/here-are-needhams-top-picks-for-2026.html
6 Hours Ago,Family offices could be hit in Trump ban on investors buying homes,https://www.cnbc.com/2026/01/16/trump-investors-homes-family-offices.html
7 Hours Ago,This retail stock has taken a hit. Deutsche thinks the bad news is baked in,https://www.cnbc.com/2026/01/16/deutsche-bank-upgrade-korean-retail-giant.html
7 Hours Ago,Russia says it’s monitoring Trump’s ‘extraordinary’ push to take over Greenland,https://www.cnbc.com/2026/01/16/greenland-russia-trump-takeover-threats-annex-denmark.html
